,model,model_key,mnist_c_variant,accuracy
175,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,gaussian_noise,0.9782
176,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,contrast,0.9895
177,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,canny_edges,0.7203
178,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,zoom_blur,0.9822
179,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,line,0.9087
180,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,pessimal_noise,0.9602
181,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,rotate,0.9148
182,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,brightness,0.9902
183,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,shot_noise,0.9835
184,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,saturate,0.9833
185,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,motion_blur,0.9494
186,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,snow,0.9844
187,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,inverse,0.2366
188,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,impulse_noise,0.9724
189,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,stripe,0.9081
190,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,quantize,0.99
191,2022-05-03_085313_LCL5_d2__it16250_e3.pt,vgg19r_lcl__random_multiplex_selection,frost,0.9877
192,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,pixelate,0.9791
193,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,dotted_line,0.9787
194,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,gaussian_blur,0.8973
195,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,elastic_transform,0.8884
196,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,jpeg_compression,0.9916
197,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,speckle_noise,0.9863
198,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,identity,0.9927
199,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,glass_blur,0.9676
200,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,spatter,0.9712
201,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,translate,0.5815
202,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,fog,0.988
203,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,shear,0.9784
204,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,scale,0.9465
205,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,zigzag,0.9389
206,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,defocus_blur,0.9543
207,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,gaussian_noise,0.9772
208,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,contrast,0.9883
209,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,canny_edges,0.7021
210,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,zoom_blur,0.9809
211,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,line,0.9097
212,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,pessimal_noise,0.9679
213,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,rotate,0.9211
214,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,brightness,0.9902
215,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,shot_noise,0.9846
