,model,model_key,mnist_c_variant,accuracy
134,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,identity,0.9928
135,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,glass_blur,0.9657
136,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,spatter,0.9719
137,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,translate,0.6076
138,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,fog,0.988
139,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,shear,0.9771
140,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,scale,0.9522
141,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,zigzag,0.9463
142,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,defocus_blur,0.9533
143,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,gaussian_noise,0.9787
144,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,contrast,0.989
145,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,canny_edges,0.7387
146,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,zoom_blur,0.982
147,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,line,0.9245
148,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,pessimal_noise,0.9716
149,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,rotate,0.9239
150,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,brightness,0.99
151,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,shot_noise,0.9869
152,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,saturate,0.9865
153,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,motion_blur,0.948
154,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,snow,0.9852
155,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,inverse,0.2876
156,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,impulse_noise,0.976
157,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,stripe,0.9034
158,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,quantize,0.9917
159,2022-05-04_091715_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,frost,0.9887
