,model,mnist_c_variant,accuracy
174,VGG19_2022-04-04_191333__it10000_e2.pt,defocus_blur,0.929
175,VGG19_2022-04-04_191333__it10000_e2.pt,gaussian_noise,0.9495
176,VGG19_2022-04-04_191333__it10000_e2.pt,contrast,0.1344
177,VGG19_2022-04-04_191333__it10000_e2.pt,canny_edges,0.7216
178,VGG19_2022-04-04_191333__it10000_e2.pt,zoom_blur,0.9752
179,VGG19_2022-04-04_191333__it10000_e2.pt,line,0.8044
180,VGG19_2022-04-04_191333__it10000_e2.pt,pessimal_noise,0.8685
181,VGG19_2022-04-04_191333__it10000_e2.pt,rotate,0.9081
182,VGG19_2022-04-04_191333__it10000_e2.pt,brightness,0.9681
183,VGG19_2022-04-04_191333__it10000_e2.pt,shot_noise,0.9808
184,VGG19_2022-04-04_191333__it10000_e2.pt,saturate,0.9805
185,VGG19_2022-04-04_191333__it10000_e2.pt,motion_blur,0.9495
186,VGG19_2022-04-04_191333__it10000_e2.pt,snow,0.8996
187,VGG19_2022-04-04_191333__it10000_e2.pt,inverse,0.2963
188,VGG19_2022-04-04_191333__it10000_e2.pt,impulse_noise,0.959
189,VGG19_2022-04-04_191333__it10000_e2.pt,stripe,0.8868
190,VGG19_2022-04-04_191333__it10000_e2.pt,quantize,0.9882
191,VGG19_2022-04-04_191333__it10000_e2.pt,frost,0.6608
